Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,26891.4464489571,30743.5476816354,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59775.7350964515,61063.3164304238,67803.0471046403
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,9641.5751953125,14388.34765625,28912.15625,27729.193359375,27163.33203125,23408.3359375,24605.919921875,26608.875,29334.111328125,29206.076171875,27681.56640625,30798.4765625
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,..,1484.17605712863,4777.06691952937,5129.6635340307,5330.35507751851,4729.69005416208,4994.97162308122,5394.26913970341,6070.35298018619,6119.76235142981,6082.36673041923,6916.43831507661
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,2124.76794393518,1276.2880341,6953.13251493684,7998.12523878099,8341.39967861093,5967.05220384914,5039.68188628499,5785.67067254068,6360.06247301284,6837.71782606351,6555.42681826316,7303.69626589884
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21680.989623313,24625.6007227434,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51486.5755014824,50114.4011099728,48588.6593847921,53267.9327491132
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,18878.8523130643,21854.2468030614,38684.5665299216,39538.3552064403,41302.3821426181,35770.9186530024,37474.7458403618,38964.662014361,41793.3188365378,40898.4179063904,37416.6977203275,43047.6862704034
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/16/2022,,,,,,,,,,,,,,,
